Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
1HOPSAT,NR (3/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0.0,566,576,0.00072,36.9,96.08,22,,,12/11/2019,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859,Pathfinder for planned earth observation constellation.,JMSatcat/3_20,2019
3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,Unknown,LEO,Unknown,0.0,476,500,0.00175,97.4,95,4,,,11/29/2018,0.0,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Student built.,Estimated,2018
Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,Unknown,LEO,Unknown,0.0,497,517,0.00145,97.45,94.7,5,,4.5,6/23/2017,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,JMSatcat/10_17,2017
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,442,687,0.0177,98.2,95.9,1,,,4/25/2016,0.0,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,Space50,2016
ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,Unknown,GEO,Unknown,75.0,"35,778","35,793",0.000178,0.08,1436.03,"6,330",,"16,000",2/6/2014,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",ZARYA,2014
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,Unknown,GEO,Unknown,-75.0,"35,700","35,700",0.0,0.0,1436.1,"1,800",,,6/15/2016,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,Estimated,2016
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,Unknown,GEO,Unknown,-3.0,"35,788","35,803",0.000178,0.1,1436,"2,000",,,3/2/2015,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,,2015
ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,Unknown,GEO,Unknown,75.0,"35,780","35,793",0.000154,0.01,1436.1,"4,143","1,700","7,400",3/13/2004,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,JM/12_08,2004
ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,Unknown,GEO,Unknown,159.0,"35,777","35,794",0.000202,0.01,1436.08,"2,894","1,730","6,800 (EOL)",9/26/1999,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",JM/12_08,1999
ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,Unknown,GEO,Unknown,116.18,"35,780","35,791",0.00013000000000000002,0.01,1436.06,"3,500","1,800","4,800",9/4/1999,15.0,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",JM/12_08,1999
USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,Unknown,-26.0,"35,560","36,013",0.005370000000000001,7.72,1436.14,"4,500",,,5/9/1998,0.0,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,JM/12_08,1998
USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,Unknown,95.4,"35,589","35,984",0.00468,3.2,1436.1,"4,500",,,9/9/2003,0.0,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,JM/12_08,2003
USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,Unknown,44.0,"35,714","35,937",0.00264,2.89,1438.8,"5,000",,,1/18/2009,0.0,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,SC - ASCR,2009
USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,Unknown,100.9,"35,500","35,500",0.0,0.0,1436,"5,000",,,11/21/2010,0.0,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.,SC - ASCR,2010
USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,Unknown,60.0,"35,771","35,805",0.00040300000000000004,0.0,1436.1,"5,000",,,6/29/2012,0.0,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.,CalSky,2012
USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,Unknown,102.6,"35,613","35,903",0.00344,7.51,1437.19,"5,000",,,6/11/2016,0.0,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.,ZARYA,2016
USA 235,USA,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,-120.0,"35,772","35,801",0.000344,2.34,1436.1,"6,169",,,5/3/2012,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.,ZARYA,2012
USA 246,NR,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,152.1,"35,700","35,803",0.00122,4.2,1436.1,"6,169",,,9/18/2013,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.,ZARYA,2013
USA 288,USA,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,150.2,"35,781","35,790",0.00010700000000000001,0.05,1436.1,"6,169",,,10/17/2018,0.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,,JMGEO/11_19),2018
USA 292,USA,USA,US Air Force,Military,Communications,Unknown,GEO,Unknown,-94.39,"35,780","35,810",0.000356,6.4,1436.2,"6,169",,,8/8/2019,0.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,,JMGEO/11_19),2019
USA 298,NR (4/20),USA,US Air Force ,Military,Communications,Unknown,GEO,Unknown,0.0,"35,780","35,780",0.0,0.0,1436,"6,169",,,3/26/2020,0.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,,Estimated,2020
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,Unknown,LEO,Equatorial,0.0,480,790,0.0221,0.02,97.4,3,,,9/13/2012,0.0,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.,ZARYA,2012
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,Unknown,0.0,314,317,0.00022400000000000002,96.7,92.4,"1,367",,,8/22/2018,3.0,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.",JMSatcat/11_18,2018
Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,469,481,0.000877,51.6,94.15,2,,,8/9/2019,0.0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,,JMSatcat/11_19,2019
Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,471,483,0.0008759999999999999,51.6,94.15,2,,,8/9/2019,0.0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,,JMSatcat/11_19,2019
Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Polar,0.0,495,511,0.00116,85.03,94.6,4,,,12/17/2018,0.0,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.,JMSatcat/3_19,2018
Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Polar,0.0,492,511,0.0013800000000000002,85.3,94.6,4,,,12/17/2018,0.0,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.,JMSatcat/3_19,2018
Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,481,487,0.00043799999999999997,51.6,94.2,4,,,7/16/2018,0.0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,,JMSatcat/3_19,2018
Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,481,487,0.00043799999999999997,51.6,94.2,4,,,7/16/2018,0.0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,,JMSatcat/3_19,2018
Aerocube 14A,NR (3/20),USA,Aerospace Corporation,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,459,474,0.0011,51.6,93.9,,,,1/31/2020,0.0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells.",JMSatcat/3_20,2020
Aerocube 14B,NR (3/20),USA,Aerospace Corporation,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,459,474,0.0011,51.6,93.9,,,,1/31/2020,0.0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps.",JMSatcat/3_20,2020
Aerocube 15A,NR (3/20),USA,Aerospace Corporation,Military,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,458,474,0.00117,51.6,93.9,,,,1/31/2020,0.0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit.",JMSatcat/3_20,2020
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,500,802,0.0215,64.78,97.74,2,,,10/8/2015,0.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication.",JR/12_15,2015
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,614,700,0.0061200000000000004,97.98,97.88,5,,,6/19/2014,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,ZARYA,2014
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,614,700,0.0061200000000000004,97.98,97.88,5,,,6/19/2014,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,ZARYA,2014
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,500,802,0.0215,64.6,97.4,2,,,10/8/2015,0.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,JM/12_15,2015
Aerocube 7B,NR (3/20),USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,432,437,0.000367,53.6,93.2,2,,,11/12/2017,0.0,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071F,43042,,JMSatcat/7_20,2017
Aerocube 7C,NR (3/20),USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,432,437,0.000367,53.6,93.2,2,,,11/12/2017,0.0,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071G,43043,,JMSatcat/7_20,2017
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,356,700,0.0249,55.0,95.19,5,,,5/20/2015,0.0,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,JM/8_15,2015
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,356,700,0.0249,55.0,95.19,5,,,5/20/2015,0.0,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,JM/8_15,2015
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,569,584,0.00108,97.9,96.2,5,,,11/11/2016,0.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067F,41853,,JMSatcat/7_20,2016
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,572,584,0.0008640000000000001,98.0,96.23,2,,,11/11/2016,0.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,prehled druzic,2016
Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,Unknown,GEO,Unknown,48.0,"35,764","35,808",0.000522,0.12,1436.08,"3,460","1,555","7,000",12/20/2008,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,JM/12_08,2008
AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,544,552,0.0005780000000000001,97.9,96.2,215,197,216,4/25/2007,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,www.satellitedebris.net 12/12,2007
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,643,660,0.00121,98.25,97.76,14,,,6/30/2014,0.0,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.,ZARYA,2014
AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,615,632,0.00122,98.0,97.2,6,,,7/12/2010,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,www.satellitedebris.net 12/12,2010
AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,625,631,0.000429,98.4,97.27,6,,,7/8/2014,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.,ZARYA,2014
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,Unknown,LEO,Polar,0.0,599,626,0.00193,82.4,96.9,,,,12/28/2013,0.0,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,ZARYA,2013
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,558,582,0.00173,64.88,96.06,53,,,4/19/2013,3.0,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,,2013
AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,471,486,0.0011,97.28,94.18,531,,,4/27/2016,0.0,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.",Space50,2016
AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,574,592,0.0012900000000000001,97.8,96.4,3,,,12/3/2018,0.0,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.,JMSatcat/3_19,2018
AISTechSat-3,NR (4/20),Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,490,506,0.00116,97.5,94.6,2,,,4/1/2019,0.0,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.,JMSatcat/11_19,2019
Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,Unknown,GEO,Unknown,-20.0,"35,777","35,796",0.000225,0.0,1436,"3,795",,,1/25/2018,15.0,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well.",JMGEO/5_18,2018
Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,Unknown,GEO,Unknown,-24.8,"35,744","35,798",0.000641,0.04,1436.1,"5,225",,,12/10/2017,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,Algeria's first communications satellite.,JMGEO/3_18,2017
ALE-2,NR (3/20),Japan,Astro Live Experiences,Commercial,Earth Science,Unknown,LEO,Sun-Synchronous,0.0,397,414,0.00125,97.01,92.06,75,,,12/6/2019,0.0,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.,JMSatcat/3_20,2019
Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,573,589,0.00115,97.7,96.2,4,,,12/3/2018,0.0,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Technology demonstration mission.,JMSatcat/3_19,2018
ALiCE,NR,USA,US Air Force Institute of Technology,Military,Technology Development,Unknown,LEO,Polar,0.0,443,886,0.0315,120.3,98,5,,,12/6/2013,0.0,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,ZARYA estimated,2013
Alsat-2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,646,660,0.000997,98.2,97.7,117,,,9/26/2016,5.0,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.,JMSatcat/12_16,2016
Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,661,704,0.00305,98.2,98.4,103,,,9/26/2016,5.0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,",JMSatcat/12_16,2016
AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,661,698,0.00262,98.2,98.3,10,,,9/26/2016,0.0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.,JMSatcat/12_16,2016
Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,672,674,0.00014199999999999998,98.1,98.2,130,,,7/12/2010,5.0,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",www.satellitedebris.net 12/12,2010
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,Unknown,GEO,Unknown,-61.0,"35,767","35,805",0.00045099999999999996,0.03,1436.08,"5,465",,"15,300",10/1/2009,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.",JM/12_09,2009
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,Unknown,GEO,Unknown,-61.0,"35,781","35,791",0.00011899999999999999,0.03,1436.05,"6,265","2,778","14,000",2/7/2013,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,,SC - ASCR,2013
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,Unknown,GEO,Unknown,-61.0,"35,784","35,795",0.00013000000000000002,0.08,1436.24,"2,938",,,3/22/2014,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.,SC - ASCR,2014
Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,Unknown,GEO,Unknown,-61.0,"35,785","35,789",4.74e-05,0.04,1436.11,"5,900",,,9/12/2017,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,"34 Ka-band, 24 Ku-band",JM/3_18,2017
AMC-1,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-129.15,"35,772","35,800",0.000332,0.03,1436.1,"2,783","1,600","6,500 (EOL)",9/8/1996,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",JM/12_08,1996
AMC-11,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-130.93,"35,774","35,797",0.000273,0.04,1436.07,"2,340","2,316","6,500 (EOL)",5/19/2004,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,JM/12_08,2004
AMC-15,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-105.04,"35,777","35,795",0.000213,0.04,1436.08,"4,200",,,10/14/2004,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",JM/12_08,2004
AMC-16,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-84.98,"35,780","35,793",0.000154,0.02,1436.1,"4,312",,,12/17/2004,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",JM/12_08,2004
AMC-18,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-104.97,"35,773","35,800",0.00032,0.06,1436.1,"2,081",918,,12/8/2006,15.0,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,JM/12_08,2006
AMC-2,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-100.98,"35,774","35,798",0.000285,0.05,1436.1,"2,648","1,600","6,500 (EOL)",1/30/1997,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",JM/12_08,1997
AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-124.86,"35,778","35,793",0.000178,3.0,1436.1,"2,500",,"5,000",8/14/2008,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.",JM/12_08,2008
AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communications,Unknown,GEO,Unknown,-100.99,"35,781","35,791",0.00011899999999999999,0.01,1436.1,"3,909","2,500",,11/13/1999,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",JM/12_08,1999
AMC-6,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-71.98,"35,778","35,795",0.000202,0.05,1436.12,"3,901","2,500",,10/22/2000,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",JM/12_08,2000
AMC-8,USA,USA,SES S.A.,Commercial,Communications,Unknown,GEO,Unknown,-139.0,"35,773","35,798",0.000297,0.03,1436.07,"2,015",919,"3,300",12/19/2000,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",JM/12_08,2000
AmGU-1,Russia,Russia,Moscow State University,Civil,Space Science,Unknown,LEO,Sun-Synchronous,0.0,514,547,0.0023899999999999998,97.5,95.2,4,,,7/5/2019,0.0,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,,2019
Amos 17,NR (4/20),Israel,Space-Communication Ltd.,Military/Commercial,Communications,Unknown,GEO,Unknown,17.0,"35,777","35,793",0.00018999999999999998,0.0,1436.04,"6,500",,,8/6/2019,20.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,Replaces Amos 5 which failed in 2015.,JMGEO/11_19),2019
Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,Unknown,GEO,Unknown,-3.99,"35,783","35,789",7.120000000000001e-05,0.04,1436.1,,,,4/28/2008,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",JM/12_08,2008
Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,Unknown,GEO,Unknown,65.0,"35,633","35,796",0.0019399999999999999,0.01,1432,,,,8/31/2013,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",,2013
