Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
Luch 5A,Russia,Russia,Russian Federal Space Agency,Government,Communications,Unknown,GEO,Unknown,166.99,"35,778","35,793",0.000178,4.85,1436.8,950,,,12/11/2011,0.0,ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2011-074B,37951,"Seven S-band and Ku-band channels. The 1,148-kg spacecraft will provide TV and data communications links between the International Space Station and the ground, as well as orbital control of spacecraft in low Earth orbit.",JM/1_12,2011
Luch 5B,Russia,Russia,Russian Federal Space Agency,Government,Communications,Unknown,GEO,Unknown,-16.0,"35,772","35,801",0.000344,0.22,1436.09,"1,282",950,,11/2/2012,0.0,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2012-061A,38977,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",SC - ASCR,2012
Luch 5V,Russia,Russia,Russian Federal Space Agency,Government,Communications,Unknown,GEO,Unknown,95.0,"35,767","35,802",0.00041500000000000006,4.76,1435.99,"1,148",950,"2,200",4/28/2014,10.0,OAO Resetneva,Russia,Baikonur Cosmodrome,Proton M,2014-023A,39727,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",SC - ASCR,2014
Luch/Olympus,Russia,Russia,Ministry of Defense,Military,Communications,Unknown,GEO,Unknown,95.0,"35,781","35,793",0.00014199999999999998,0.05,1436.12,,,,9/27/2014,15.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2014-058A,40258,Likely serve as a data relay station for military satellites when they are orbiting the Earth beyond the range of ground stations. ,ZARYA,2014
Lucky-7,NR (11/19),Czech Republic,SkyFox Labs,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,515,545,0.00217,97.5,95.2,1,,,7/5/2019,0.0,SkyFox Labs,Czech Republic,Vostochny Cosmodrome,Soyuz 2.1b,2019-038W,44406,Test first space-friendly electronic systems.,JMSatcat/11_19,2019
Lume-1,NR (11/19),Spain,University of Vigo/Alén Space,Commercial/Civil,Communications,Unknown,LEO,Sun-Synchronous,0.0,480,513,0.0024,97.3,94.5,2,,,12/27/2018,0.0,University of Vigo/Alén Space,Spain,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AJ,43908,Will receive transmissions from ground stations for fighting wildfires.,JMSatcat/3_19,2018
Luojia 1,China,China,Wuhan University,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,634,647,0.000927,98.0,97.5,5,,,6/3/2018,0.0,Wuhan University,China,Jiuquan Satellite Launch Center,Long March 2D,2018-048B,43485,Experimental remote sensing of night light.,JMSatcat/10_18,2018
M3MSat,Canada,Canada,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,501,515,0.0010199999999999999,97.5,94.7,85,,,6/22/2016,0.0,Com Dev International (Honeywell Canada),Canada,Satish Dhawan Space Centre,PSLV XL,2016-040G,41605,"Automatic Identification System (AIS) satellite; real-time data on the locations, speeds and routes of vessels through Canadian oceans.",ZARYA,2016
MakerSat-1,NR (3/20),USA,Northwest Nazarene University,Commercial/Civil,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,459,473,0.0010199999999999999,51.6,93.9,2,,,1/31/2020,0.0,Northwest Nazarene University/Globalstar,USA,Cygnus,SEOPS Slingshot Deployer,2019-071N,45123,A 1U cubesat designed to be 3D printed and then snapped together for use.,,2020
Maroc Tubsat,NR,Morocco/Germany,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,984,"1,014",0.0020399999999999997,99.2,105.1,47,,56,12/10/2001,3.0,CRTS Morocco/Institut für Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004,Test three-dimensional attitude control system for future remote sensing; currently used for ice observation in Arctic.,www.satellitedebris.net 12/12,2001
